ID_CLASSIFICATION,PIPE_GRADE,NPS,MATERIAL_COST_PERMETER,BASE_MATERIAL_COST,CONSTRUCTION_COST,BASE_CONSTRUCTION_COST
1,300,2,195900,154102100,4630100,253472700
1,300,4,604900,235298500,5230300,305011400
1,300,6,1204800,322775200,6111500,324842000
1,300,8,2040100,403397800,7674000,370346500
1,300,10,2756900,476346400,8485000,393566100
1,300,12,4100600,551145800,10229100,419989000
2,300,2,174800,181102700,4081700,296814800
2,300,4,528200,281727500,4409900,346341000
2,300,6,991100,426587300,5453700,370782400
2,300,8,1592200,582114100,6311700,434280000
2,300,10,2193700,700641500,7220800,465502700
2,300,12,3117100,832031800,8073400,496351900
3,300,4,492500,222991100,2892700,944918500
3,300,6,882600,307416700,3328700,967876500
3,300,8,1356800,374956700,3869800,1019795700
3,300,10,1911200,433082100,4267300,1044171300
3,300,12,2585300,496102800,4870200,1084632100
3,300,16,3942000,660251000,5707200,1142452800
3,300,20,5440600,1084192400,6960100,8257487400
3,300,24,5017100,1417333600,8392900,9715322200
3,300,28,6563600,2057585900,9264800,11188842000
3,300,32,8676600,2672525600,10398800,12663735900
3,300,36,11340400,3572166900,12253000,14165801200
3,300,40,12607100,3946992500,12996600,15651025100
1,150,2,177100,138712100,4630100,253472700
1,150,4,552700,222183500,5230300,305011400
1,150,6,1034500,315047700,6111500,324842000
1,150,8,1651500,376354700,7674000,370346500
1,150,10,2476200,433185500,8485000,393566100
1,150,12,3307900,474553200,10229100,419989000
2,150,2,166700,169687900,4081700,296814800
2,150,4,505600,281859500,4409900,346341000
2,150,6,916400,424385800,5453700,370782400
2,150,8,1420800,536926400,6311700,434280000
2,150,10,2070700,638231500,7220800,465502700
2,150,12,2668100,753120700,8073400,496351900
3,150,4,487500,222793700,2892700,944918500
3,150,6,864700,310513300,3328700,967876500
3,150,8,1311900,359964500,3869800,1019795700
3,150,10,1879900,410721700,4267300,1044171300
3,150,12,2345200,464672000,4870200,1084632100
3,150,16,3472100,565128400,5707200,1142452800
3,150,20,3500700,890654300,6960100,8257487400
3,150,24,4565700,1177253200,8392900,9715322200
3,150,28,5805500,1697008400,9264800,11188842000
3,150,32,7263200,2498856900,10398800,12663735900
3,150,36,9424800,3109115000,12253000,14165801200
3,150,40,10480700,3454308400,12996600,15651025100
4,NULL,20,2371800,NULL,7470000,NULL
5,NULL,32,53500,6063800,3093100,18830200
5,NULL,63,146600,5829500,3099000,18831800
5,NULL,90,264600,6652200,3147200,21772500
5,NULL,125,506100,7292900,3949300,24227800
6,NULL,32,37500,6063800,1535500,22330200
6,NULL,63,119900,5829500,1549400,22331800
6,NULL,90,218100,6652200,1604700,25272500
6,NULL,125,419500,7292900,1793600,27727800
7,NULL,32,41000,7373400,1330700,28564500
7,NULL,63,126100,7480400,1366500,28566200
7,NULL,90,230500,9422900,1436300,31506800
7,NULL,125,442700,11188600,1593900,32056600
7,NULL,180,908900,13351900,1874800,33321200
